"Participant","Carrier","SPL","SL","Rayleigh","Ftest"
"ANH4215","u_F1",20,3.66,0.43407145,0.253136263876224
"ANH4215","u_F1",35,18.66,0.08363555,0.183356860557048
"ANH4215","u_F1",50,33.66,0.04083347,0.153798285235747
"ANH4215","u_F1",65,48.66,0,1.02362464918896e-05
"ANH4215","u_F2",20,-8.8,0.93921428,0.366570556351979
"ANH4215","u_F2",35,6.2,0.0776482,0.0472657356950718
"ANH4215","u_F2",50,21.2,0.08470131,0.166372374428146
"ANH4215","u_F2",65,36.2,0.00179841,0.0333191345756735
"ANH4216","a_F1",20,4.9,0.46394789,0.474273940700889
"ANH4216","a_F1",35,19.9,0.84028549,0.519782573983088
"ANH4216","a_F1",50,34.9,0.02765698,0.0757704191787768
"ANH4216","a_F1",65,49.9,3.62e-06,1.17350184808283e-05
"ANH4216","a_F2",20,6.71,0.02032299,0.0170093283621509
"ANH4216","a_F2",35,21.71,0.55876768,0.175478520205971
"ANH4216","a_F2",50,36.71,1e-07,0.0012151595352461
"ANH4216","a_F2",65,51.71,0,1.3102362252423e-07
"ANH4216","i_F1",20,-6.54,0.66089843,0.29217840896221
"ANH4216","i_F1",35,8.46,0.15357297,0.0893869139066879
"ANH4216","i_F1",50,23.46,0.00300418,0.0141653153787927
"ANH4216","i_F1",65,38.46,0.00145232,0.0430154072188616
"ANH4216","i_F2",20,-8.64,0.84557523,0.998061677979397
"ANH4216","i_F2",35,6.36,0.01801751,0.00427041785825175
"ANH4216","i_F2",50,21.36,0.0236226,0.0371645495454179
"ANH4216","i_F2",65,36.36,2.99e-06,0.00191278721331453
"ANH4216","s",20,-10.36,0.14029048,0.269520943576881
"ANH4216","s",35,4.64,0.02378305,0.225519342718913
"ANH4216","s",50,19.64,0,1.37297425928075e-06
"ANH4216","s",65,34.64,3e-08,5.57842561701006e-05
"ANH4216","sh",20,5.63,0.98260821,0.83922287871273
"ANH4216","sh",35,20.63,0.0005418,0.0154040331176587
"ANH4216","sh",50,35.63,1.5e-07,9.31508464982117e-06
"ANH4216","sh",65,50.63,0,3.64406661406791e-06
"ANH4216","u_F1",20,-1.34,0.93111367,0.673491701777787
"ANH4216","u_F1",35,13.66,0.56701203,0.746446794221627
"ANH4216","u_F1",50,28.66,1.56e-06,7.70284695678051e-05
"ANH4216","u_F1",65,43.66,6e-07,1.6480039994248e-05
"ANH4216","u_F2",20,-3.8,0.5733809,0.935598356505239
"ANH4216","u_F2",35,11.2,0.68650999,0.831858345217416
"ANH4216","u_F2",50,26.2,0.02236542,0.041691292453908
"ANH4216","u_F2",65,41.2,2.781e-05,0.000228267745661151
"ANH4218","a_F1",20,9.9,0.34839183,0.458176660895391
"ANH4218","a_F1",35,24.9,0.26571863,0.465882891932023
"ANH4218","a_F1",50,39.9,0,1.67587265577002e-06
"ANH4218","a_F1",65,54.9,2.24e-05,0.000179566571111115
"ANH4218","a_F2",20,6.71,0.52279498,0.62440985756386
"ANH4218","a_F2",35,21.71,0.05494788,0.0110094653565334
"ANH4218","a_F2",50,36.71,0.16813573,0.0655230052507852
"ANH4218","a_F2",65,51.71,0,3.8216081418733e-08
"ANH4218","i_F1",20,-1.54,0.23455687,0.154821879133755
"ANH4218","i_F1",35,13.46,8.437e-05,7.73656954875266e-05
"ANH4218","i_F1",50,28.46,5e-08,1.31839371436925e-07
"ANH4218","i_F1",65,43.46,0.03036406,0.067333178444915
"ANH4218","i_F2",20,-3.64,0.63802932,0.528240704069741
"ANH4218","i_F2",35,11.36,0.42453603,0.243123265006322
"ANH4218","i_F2",50,26.36,0.00015019,3.66494199695597e-06
"ANH4218","i_F2",65,41.36,0,1.18680529804605e-07
"ANH4218","s",20,-5.36,0.13030661,0.177345590204463
"ANH4218","s",35,9.64,2e-08,2.99463386771762e-06
"ANH4218","s",50,24.64,0,7.06107622670459e-09
"ANH4218","s",65,39.64,0,3.68378362049015e-11
"ANH4218","sh",20,0.63,0.31157146,0.530950451780273
"ANH4218","sh",35,15.63,0.00042989,0.00296279697979261
"ANH4218","sh",50,30.63,0,2.44838127943525e-06
"ANH4218","sh",65,45.63,0,2.23361495644827e-07
"ANH4218","u_F1",20,3.66,0.75254579,0.159551996650066
"ANH4218","u_F1",35,18.66,0.33438292,0.470468302331986
"ANH4218","u_F1",50,33.66,0.20940409,0.00700615220907839
"ANH4218","u_F1",65,48.66,1e-08,4.93851244512743e-06
"ANH4218","u_F2",20,1.2,0.10632078,0.0789216018024101
"ANH4218","u_F2",35,16.2,0.0622614,0.000845596713150428
"ANH4218","u_F2",50,31.2,0.0334123,4.96449736967862e-05
"ANH4218","u_F2",65,46.2,0.02744542,0.0118451008016329
"ANH4219","a_F1",20,4.9,0.30426118,0.206768893147515
"ANH4219","a_F1",35,19.9,0.04979,0.343999600234151
"ANH4219","a_F1",50,34.9,0.00488749,0.379410117961195
"ANH4219","a_F1",65,49.9,8.3e-07,0.0577105819698389
"ANH4219","a_F2",20,6.71,0.79228455,0.631549290028447
"ANH4219","a_F2",35,21.71,0.06251486,0.251986310419913
"ANH4219","a_F2",50,36.71,0,7.16614289262555e-06
"ANH4219","a_F2",65,51.71,0,4.30556654666626e-06
"ANH4219","i_F1",20,-1.54,0.20519705,0.52379979449716
"ANH4219","i_F1",35,13.46,0.63586375,0.828915311074539
"ANH4219","i_F1",50,28.46,9.7e-07,3.95397469194019e-05
"ANH4219","i_F1",65,43.46,0,5.13842586475733e-09
"ANH4219","i_F2",20,-8.64,0.3795355,0.587833873778878
"ANH4219","i_F2",35,6.36,0.1183795,0.0174101768535835
"ANH4219","i_F2",50,21.36,1.691e-05,0.00255544394393064
"ANH4219","i_F2",65,36.36,2.58e-06,8.40215536932745e-05
"ANH4219","s",20,-5.36,0.96028528,0.572732478826741
"ANH4219","s",35,9.64,0.00512414,0.0152022828792647
"ANH4219","s",50,24.64,0,4.72572333963648e-08
"ANH4219","s",65,39.64,0,1.6837161405091e-08
"ANH4219","sh",20,0.63,0.6280289,0.354267789910055
