"race","activity","bmi"
"2","2",18.550392431
"2","2",23.773934404
"2","2",19.56361292
"2","2",27.466127207
"2","2",39.31533924
"2","3",25.028735723
"2","1",24.155490513
"2","2",24.387109369
"2","1",36.711698259
"2","1",49.543979786
"2","2",17.853398795
"2","2",28.337261426
"1","3",32.488779384
"1","2",21.029380893
"1","1",36.516907102
"2","2",25.728443212
"2","2",19.703015245
"2","3",21.932900294
"2","3",20.019002912
"2","3",21.556771075
"2","2",24.593195266
"1","1",25.513257414
"2","2",31.4352799
"2","2",22.53676423
"2","2",24.663269409
"2","2",26.551926036
"2","1",48.664628761
"2","3",15.410225922
"2","2",27.253892687
"2","2",22.085837457
"2","2",27.619453894
"2","1",22.952012766
"2","3",17.029101718
"2","2",20.753088611
"1","2",26.759953946
"1","2",27.264257771
"2","1",24.307516678
"2","1",23.864250946
"2","2",19.904219367
"2","1",18.894634175
"1","2",18.819173177
"2","1",42.502650879
"2","2",23.072186441
"1","2",17.747477207
"1","1",30.988154185
"2","2",23.937917698
"2","2",40.602067116
"2","2",22.493433864
"2","2",42.714901575
"1","3",20.772058527
"1","2",20.027362467
"2","2",21.556768267
"2","3",21.694838602
"2","2",24.379778082
"1","3",21.390597425
"2","3",24.979697442
"2","3",22.965810082
"1","2",21.117341821
"2","2",20.088095839
"2","2",20.462013631
"2","2",21.07862464
"1","3",35.210236583
"2","2",22.263068595
"1","3",24.168049206
"1","3",18.202408179
"2","3",26.287672015
"2","2",25.011221922
"2","2",23.215430336
"2","3",22.525037881
"2","1",54.740293509
"1","2",21.177577459
"2","3",22.346215191
"1","2",18.499630537
"1","1",18.692408035
"2","1",20.599070317
"1","3",25.510592897
"1","2",20.324973113
"2","3",23.823942897
"1","2",21.55511588
"1","3",20.357385912
"1","3",21.409320577
"1","2",21.900679669
"2","1",30.196281641
"2","2",24.801925361
"1","2",27.997995005
"1","1",39.129590659
"2","2",21.893058909
"1","2",20.851197781
"1","3",24.814355049
"2","3",21.713434017
"1","3",21.882941839
"2","2",20.181377725
"2","3",18.488185775
"1","2",18.43751117
"1","1",29.705940891
"1","3",19.184574744
"2","1",22.209964338
"1","2",21.01621361
